UniqueID	Family	Loc	DTB	PTUtB	MPTUtB	DTF	PTUtF	MPTUtF	LfL	Main	Caul	Basal	Hi_Order	Branch	SIL_num	QTL3.44_BranchinH	QTL2.03_BranchinK	QTL5.25_BranchinN	QTL5.92_BranchinN	QTL4.03_LfLinH	QTL4.28_LfLinH	QTL5.82_LfLinH	QTL4.39_LfLinK	QTL4.73_LfLinK	QTL5.32_LfLinN	QTL3.39_LfLinV	QTL5.06_LfLinV	QTL5.90_LfLinV	QTL1.04_MPTUtBinH	QTL2.48_MPTUtBinH	QTL4.07_MPTUtBinH	QTL4.43_MPTUtBinH	QTL5.92_MPTUtBinH	QTL1.04_MPTUtBinK	QTL1.13_MPTUtBinK	QTL4.04_MPTUtBinK	QTL5.27_MPTUtBinK	QTL5.95_MPTUtBinK	QTL1.15_MPTUtBinN	QTL4.01_MPTUtBinN	QTL5.24_MPTUtBinN	QTL2.02_MPTUtBinV	QTL5.06_MPTUtBinV	QTL5.95_MPTUtBinV	QTL1.05_MPTUtFinH	QTL2.52_MPTUtFinH	QTL4.05_MPTUtFinH	QTL4.43_MPTUtFinH	QTL5.26_MPTUtFinH	QTL1.04_MPTUtFinK	QTL2.22_MPTUtFinK	QTL3.80_MPTUtFinK	QTL5.92_MPTUtFinK	QTL1.84_MPTUtFinN	QTL4.01_MPTUtFinN	QTL5.25_MPTUtFinN	QTL2.18_MPTUtFinV	QTL5.90_MPTUtFinV	QTL3.35_SIL_numinH	QTL4.54_SIL_numinH	QTL2.03_SIL_numinK	QTL1.04_SIL_numinN	QTL2.26_SIL_numinN	QTL5.26_SIL_numinN
An1(LerAn1)	Lan	N	62	7930.128366	2941.597467	67	8076.925377	3006.183362	17.8	0	0	0	0	0	0	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	V	64	3645.328148	1820.86484	88	5320.533337	3005.23094	25.24	1	5	7	18	26	684	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	V	71	4134.804618	2146.271802	90	5454.919445	3107.116776	38.01	1	5	10	9	20	464	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
An1(LerAn1)	Lan	V	83	4914.358712	2700.552173	104	6729.995331	4081.086613	31.22	1	3	6	14	21	196	6.7193	4.034	-0.0898	0.2337	20.3982	-6.9958	-27.8198	-2.5843	-4.9729	-6.5773	-16.4918	-1.0037	-10.1768	-140.111	-25.0882	-27.902	4.2047	-91.8587	23.0742	109.409	148.876	27.8875	-69.3981	-23.7878	-27.4335	16.6756	-81.5179	47.0312	-4.147	25.4437	-25.6025	49.6879	-65.3027	-114.842	-45.6226	-489.544	26.2515	-108.553	-17.3814	-26.2316	11.0912	-102.626	-122.392	201.81	-58.4926	168.155	-0.5794	0.2874	-0.2926
Bay	BS	K	123	4777.791301	2214.510537	175	6770.248317	4201.818559	32.3	1	5	13	75	89	2414	-2.4201	-1.184	0.091	-0.0122	-11.971	4.5987	-17.735	15.2554	2.7405	3.1029	20.8293	-51.5894	-24.3134	102.839	-201.615	2.2312	157.744	24.8624	62.4562	76.0259	-9.4146	-0.1969	-35.5121	40.0399	65.8505	12.5984	84.2681	-231.373	-39.2553	118.168	-228.899	76.0088	355.688	-46.4333	258.588	-49.4496	-432.329	133.942	71.5186	48.6595	44.2806	-132.007	-187.167	16.0131	147.231	27.8652	-0.2501	0.1212	0.4707
Bay	BS	K	130	4907.065202	2338.652844	200	8785.685786	6217.256028	30.8	1	6	16	67	84	1883	-2.4201	-1.184	0.091	-0.0122	-11.971	4.5987	-17.735	15.2554	2.7405	3.1029	20.8293	-51.5894	-24.3134	102.839	-201.615	2.2312	157.744	24.8624	62.4562	76.0259	-9.4146	-0.1969	-35.5121	40.0399	65.8505	12.5984	84.2681	-231.373	-39.2553	118.168	-228.899	76.0088	355.688	-46.4333	258.588	-49.4496	-432.329	133.942	71.5186	48.6595	44.2806	-132.007	-187.167	16.0131	147.231	27.8652	-0.2501	0.1212	0.4707
Bay	BS	K	119	4718.911916	2158.781263	167	6236.919246	3668.489488	33.5	1	4	12	55	68	2804	-2.4201	-1.184	0.091	-0.0122	-11.971	4.5987	-17.735	15.2554	2.7405	3.1029	20.8293	-51.5894	-24.3134	102.839	-201.615	2.2312	157.744	24.8624	62.4562	76.0259	-9.4146	-0.1969	-35.5121	40.0399	65.8505	12.5984	84.2681	-231.373	-39.2553	118.168	-228.899	76.0088	355.688	-46.4333	258.588	-49.4496	-432.329	133.942	71.5186	48.6595	44.2806	-132.007	-187.167	16.0131	147.231	27.8652	-0.2501	0.1212	0.4707
Bay	BS	K	125	4857.212773	2290.517299	185	7203.97269	4635.542932	29.8	0	0	9	35	44	1153	-2.4201	-1.184	0.091	-0.0122	-11.971	4.5987	-17.735	15.2554	2.7405	3.1029	20.8293	-51.5894	-24.3134	102.839	-201.615	2.2312	157.744	24.8624	62.4562	76.0259	-9.4146	-0.1969	-35.5121	40.0399	65.8505	12.5984	84.2681	-231.373	-39.2553	118.168	-228.899	76.0088	355.688	-46.4333	258.588	-49.4496	-432.329	133.942	71.5186	48.6595	44.2806	-132.007	-187.167	16.0131	147.231	27.8652	-0.2501	0.1212	0.4707
Bay	BS	K	125	4857.212773	2290.517299	164	6037.254243	3468.824485	37.5	1	4	6	29	36	1035	-2.4201	-1.184	0.091	-0.0122	-11.971	4.5987	-17.735	15.2554	2.7405	3.1029	20.8293	-51.5894	-24.3134	102.839	-201.615	2.2312	157.744	24.8624	62.4562	76.0259	-9.4146	-0.1969	-35.5121	40.0399	65.8505	12.5984	84.2681	-231.373	-39.2553	118.168	-228.899	76.0088	355.688	-46.4333	258.588	-49.4496	-432.329	133.942	71.5186	48.6595	44.2806	-132.007	-187.167	16.0131	147.231	27.8652	-0.2501	0.1212	0.4707
Bay	BS	K	124	4857.212773	2290.517299	174	6811.23783	4242.808073	25.9	1	6	10	56	67	1320	-2.4201	-1.184	0.091	-0.0122	-11.971	4.5987	-17.735	15.2554	2.7405	3.1029	20.8293	-51.5894	-24.3134	102.839	-201.615	2.2312	157.744	24.8624	62.4562	76.0259	-9.4146	-0.1969	-35.5121	40.0399	65.8505	12.5984	84.2681	-231.373	-39.2553	118.168	-228.899	76.0088	355.688	-46.4333	258.588	-49.4496	-432.329	133.942	71.5186	48.6595	44.2806	-132.007	-187.167	16.0131	147.231	27.8652	-0.2501	0.1212	0.4707
